,currency,impact,name,date,time
886,GBP,High Impact Expected,MPC Official Bank Rate Votes,2007-03-21,10:30:00
887,CAD,High Impact Expected,Core Retail Sales m/m,2007-03-21,13:30:00
892,USD,High Impact Expected,FOMC Statement,2007-03-21,19:15:00
893,USD,High Impact Expected,Federal Funds Rate,2007-03-21,19:15:00
896,GBP,High Impact Expected,Retail Sales m/m,2007-03-22,10:30:00
914,USD,High Impact Expected,Existing Home Sales,2007-03-23,15:00:00
921,NZD,High Impact Expected,Trade Balance,2007-03-26,00:45:00
923,CNY,High Impact Expected,Industrial Production y/y,2007-03-26,04:00:00
927,USD,High Impact Expected,New Home Sales,2007-03-26,16:00:00
931,EUR,High Impact Expected,German ifo Business Climate,2007-03-27,10:00:00
935,GBP,High Impact Expected,BOE Gov King Speaks,2007-03-27,10:45:00
936,GBP,High Impact Expected,Monetary Policy Report Hearings,2007-03-27,10:45:00
941,USD,High Impact Expected,CB Consumer Confidence,2007-03-27,16:00:00
949,GBP,High Impact Expected,Current Account,2007-03-28,10:30:00
952,USD,High Impact Expected,Core Durable Goods Orders m/m,2007-03-28,14:30:00
954,USD,High Impact Expected,Fed Chairman Bernanke Testifies,2007-03-28,16:30:00
957,NZD,High Impact Expected,Current Account,2007-03-29,00:45:00
971,NZD,High Impact Expected,GDP q/q,2007-03-30,00:45:00
988,CAD,High Impact Expected,GDP m/m,2007-03-30,14:30:00
991,USD,High Impact Expected,Core PCE Price Index m/m,2007-03-30,14:30:00
998,USD,High Impact Expected,Fed Chairman Bernanke Speaks,2007-03-30,18:00:00
1000,JPY,High Impact Expected,Tankan Manufacturing Index,2007-04-02,01:50:00
1003,CNY,High Impact Expected,Manufacturing PMI,2007-04-02,03:00:00
1004,AUD,High Impact Expected,Building Approvals m/m,2007-04-02,03:30:00
1005,AUD,High Impact Expected,Retail Sales m/m,2007-04-02,03:30:00
1014,USD,High Impact Expected,ISM Manufacturing PMI,2007-04-02,16:00:00
1020,CHF,High Impact Expected,CPI m/m,2007-04-03,07:45:00
1024,USD,High Impact Expected,Pending Home Sales m/m,2007-04-03,16:00:00
1027,AUD,High Impact Expected,Cash Rate,2007-04-04,01:30:00
1037,USD,High Impact Expected,ADP Non-Farm Employment Change,2007-04-04,14:15:00
1039,USD,High Impact Expected,ISM Services PMI,2007-04-04,16:00:00
1042,GBP,High Impact Expected,Halifax HPI m/m,2007-04-05,10:00:00
1043,GBP,High Impact Expected,Manufacturing Production m/m,2007-04-05,10:30:00
